plotID,LineIndex,ActorID,ActorName,Express,Pos,State,Text
parent_D1_0,27,,,Normal,None,Monologue,我会犯爸妈的错误吗？可我已经提前知道有哪些错误了呀。毕竟他们也说过很多回了，我提前知道的
parent_D1_0,28,,,Normal,None,Monologue,小学的时候没有好好努力
parent_D1_0,29,,,Normal,None,Monologue,初中的时候没有好好努力
parent_D1_0,30,,,Normal,None,Monologue,高中的时候没有好好努力
parent_D1_0,31,,,Normal,None,Monologue,不对，爸妈都没上过高中来着
parent_D1_0,32,,,Normal,None,Monologue,假如他们也上了高中呢，还有大学，也会没有好好努力吗，也不会好好努力吗
parent_D1_0,33,,,Normal,None,Monologue,“好好努力”，一个词念多了有点不认识这个词了，叫什么现象来着，语文老师讲过的
parent_D1_0,34,,,Normal,None,Monologue,啊，因为我没有好好听课，所以没有想起来，原来是这样
parent_D1_0,35,,,Normal,None,Monologue,不过到底努力到什么程度才算好好努力呢？要是跟游戏一样有数值验证就好了
parent_D1_0,36,,,Normal,None,Monologue,嗯.....不对，有数值验证的，考试嘛
parent_D1_0,37,,,Normal,None,Monologue,大大小小的考试
parent_D1_0,38,,,Normal,None,Monologue,丰富多彩的考试
parent_D1_0,39,,,Normal,None,Monologue,永不间断的考试
parent_D1_0,40,,,Normal,None,Monologue,古希腊那个谁也只用考十二次来着，当然他的比较难
parent_D1_0,41,,,Normal,None,Monologue,大狮子，大鸟，大野猪，金苹果....我确实做不到
parent_D1_0,42,,,Normal,None,Monologue,但是很奇怪，就他一个人可以考，对其他人不是不公平吗
parent_D1_0,43,,,Normal,None,Monologue,不对，就他一个人考这么难，对他也挺不公平的
parent_D1_0,44,,,Normal,None,Monologue,呃，越想越奇怪
parent_D1_0,45,,,Normal,None,Monologue,不过他肯定好好努力过了，毕竟是英雄
parent_D1_0,46,,,Normal,None,Monologue,老班倒是讲过，接受自己的试炼，做自己的英雄
parent_D1_0,47,,,Normal,None,Monologue,我的试炼到底来没来呀
parent_D1_0,48,,,Normal,None,Monologue,难道就是大大小小的考试吗
parent_D1_0,49,,,Normal,None,Monologue,“山一样大的数学，九个头喷着火的理综，隐蔽在天空阴影里的语文和英语”
parent_D1_0,50,,,Normal,None,Monologue,“我忍受着它雷霆般的叫喊，我在学生午夜游荡之地游荡，我完成了它流血的鲜红盛宴”
parent_D1_0,51,,,Normal,None,Monologue,“于是我站上世界树的顶端，以披着校服的祭司{主角}为名”
parent_D1_0,52,,,Normal,None,Monologue,不过大家好像都是这样，没什么特别的
parent_D1_0,53,,,Normal,None,Monologue,如果大家都好好努力了，那人人都是英雄吧
parent_D1_0,54,,,Normal,None,Monologue,爸妈老说当年没有好好努力，不过也是英雄啦
parent_D1_0,55,,,Normal,None,Monologue,英雄也会犯错
parent_D1_0,56,,,Normal,None,Monologue,如果可以的话，我也不想犯他们犯过的错误，也想好好努力
parent_D1_0,57,,,Normal,None,Monologue,那我的错会在哪里呢？我可以不犯我要犯的错吗
parent_D1_0,58,,,Normal,None,Monologue,越想越奇怪，要是跟游戏一样简单明了就好了
parent_D1_0,59,parent,父母,Smile,Right,Dialogue,【父】发什么呆呢，菜都要凉了
parent_D1_0,60,hero,主角,Normal,Left,Dialogue,也是，事已至此先吃饭吧，明天该犯的错留到明天犯好了
